Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-01-22,6.840000152587891,6.840000152587891,6.360000133514404,6.360000133514404,111900,0.0,0.0
2019-01-23,6.480000019073486,6.480000019073486,6.119999885559082,6.239999771118164,128008,0.0,0.0
2019-01-24,6.239999771118164,6.599999904632568,6.119999885559082,6.239999771118164,109242,0.0,0.0
2019-01-25,6.599999904632568,6.599999904632568,6.360000133514404,6.480000019073486,83125,0.0,0.0
2019-01-28,6.599999904632568,6.71999979019165,6.360000133514404,6.480000019073486,63400,0.0,0.0
2019-01-29,6.480000019073486,6.599999904632568,6.119999885559082,6.239999771118164,98383,0.0,0.0
2019-01-30,6.360000133514404,6.360000133514404,6.119999885559082,6.360000133514404,118125,0.0,0.0
2019-01-31,6.239999771118164,6.360000133514404,6.119999885559082,6.119999885559082,97583,0.0,0.0
2019-02-01,6.239999771118164,6.239999771118164,6.0,6.119999885559082,68650,0.0,0.0
2019-02-04,6.119999885559082,6.119999885559082,5.760000228881836,5.760000228881836,192467,0.0,0.0
2019-02-05,5.760000228881836,6.0,5.639999866485596,5.639999866485596,110542,0.0,0.0
2019-02-06,5.760000228881836,6.0,5.639999866485596,5.760000228881836,165850,0.0,0.0
2019-02-07,5.880000114440918,5.880000114440918,5.159999847412109,5.519999980926514,181550,0.0,0.0
2019-02-08,5.28000020980835,5.519999980926514,5.28000020980835,5.400000095367432,60850,0.0,0.0
2019-02-11,5.519999980926514,5.519999980926514,5.159999847412109,5.28000020980835,79392,0.0,0.0
2019-02-12,5.400000095367432,5.519999980926514,5.159999847412109,5.28000020980835,54183,0.0,0.0
2019-02-13,5.159999847412109,5.880000114440918,5.159999847412109,5.760000228881836,124100,0.0,0.0
2019-02-14,5.880000114440918,6.599999904632568,5.880000114440918,6.599999904632568,183275,0.0,0.0
2019-02-15,6.71999979019165,7.920000076293945,6.71999979019165,7.440000057220459,432067,0.0,0.0
2019-02-19,8.15999984741211,9.119999885559082,7.920000076293945,9.0,486992,0.0,0.0
2019-02-20,9.84000015258789,11.279999732971191,9.84000015258789,10.5600004196167,881242,0.0,0.0
2019-02-21,9.84000015258789,9.84000015258789,6.71999979019165,6.960000038146973,1463550,0.0,0.0
2019-02-22,7.559999942779541,7.800000190734863,6.960000038146973,7.079999923706055,419200,0.0,0.0
2019-02-25,6.960000038146973,7.079999923706055,5.880000114440918,6.0,622367,0.0,0.0
2019-02-26,5.880000114440918,6.239999771118164,5.400000095367432,5.519999980926514,572867,0.0,0.0
2019-02-27,5.639999866485596,6.119999885559082,5.519999980926514,5.639999866485596,257300,0.0,0.0
2019-02-28,5.760000228881836,5.880000114440918,5.519999980926514,5.639999866485596,185992,0.0,0.0
2019-03-01,5.760000228881836,5.760000228881836,5.400000095367432,5.639999866485596,169242,0.0,0.0
2019-03-04,5.880000114440918,6.599999904632568,5.639999866485596,5.880000114440918,550525,0.0,0.0
2019-03-05,6.360000133514404,6.360000133514404,5.519999980926514,5.760000228881836,254250,0.0,0.0
2019-03-06,5.880000114440918,6.0,5.639999866485596,5.760000228881836,246058,0.0,0.0
2019-03-07,5.159999847412109,5.880000114440918,4.920000076293945,5.159999847412109,566908,0.0,0.0
2019-03-08,5.159999847412109,5.28000020980835,4.920000076293945,5.039999961853027,221792,0.0,0.0
2019-03-11,5.159999847412109,5.159999847412109,4.800000190734863,5.039999961853027,265792,0.0,0.0
2019-03-12,5.039999961853027,5.039999961853027,4.800000190734863,4.800000190734863,192592,0.0,0.0
2019-03-13,4.920000076293945,5.039999961853027,4.679999828338623,4.679999828338623,288600,0.0,0.0
2019-03-14,4.800000190734863,4.800000190734863,4.199999809265137,4.440000057220459,466025,0.0,0.0
2019-03-15,4.559999942779541,4.679999828338623,4.320000171661377,4.320000171661377,307650,0.0,0.0
2019-03-18,4.320000171661377,4.559999942779541,4.199999809265137,4.199999809265137,245417,0.0,0.0
2019-03-19,4.320000171661377,4.320000171661377,3.8399999141693115,4.079999923706055,339783,0.0,0.0
2019-03-20,3.9600000381469727,4.079999923706055,3.5999999046325684,3.7200000286102295,322533,0.0,0.0
2019-03-21,3.8399999141693115,4.079999923706055,3.8399999141693115,4.079999923706055,243825,0.0,0.0
2019-03-22,4.079999923706055,4.079999923706055,3.7200000286102295,3.7200000286102295,278275,0.0,0.0
2019-03-25,3.8399999141693115,3.9600000381469727,3.359999895095825,3.7200000286102295,294158,0.0,0.0
2019-03-26,3.7200000286102295,3.7200000286102295,3.5999999046325684,3.5999999046325684,196925,0.0,0.0
2019-03-27,3.7200000286102295,3.7200000286102295,3.359999895095825,3.4800000190734863,211017,0.0,0.0
2019-03-28,3.5999999046325684,3.5999999046325684,3.0,3.119999885559082,403242,0.0,0.0
2019-03-29,3.119999885559082,3.119999885559082,2.880000114440918,3.0,452267,0.0,0.0
2019-04-01,3.119999885559082,3.240000009536743,3.0,3.240000009536743,269850,0.0,0.0
